Restaurant_Name,City,Restaurant_Type,Cuisines,Cost_for_two,Rating_out_of_5,Customer_rated,Service_Category,Online_Order,Book_Table
Vi Ra's Bar and Restaurant,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,3.3,62,Delivery,No,No
Kaggis,Banashankari,Quick Bites,"Fast Food, Bakery",250.0,3.8,64,Delivery,No,No
Ayda Persian Kitchen,Banashankari,Casual Dining,"North Indian, Iranian",950.0,3.7,39,Delivery,No,No
Chatar Patar,Banashankari,Quick Bites,"Fast Food, Street Food",300.0,3.7,65,Delivery,No,No
Polar Bear,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,3.8,71,Delivery,Yes,No
Kidambi's Kitchen,Banashankari,Quick Bites,South Indian,300.0,3.5,52,Delivery,No,No
Mane Thindi,Banashankari,Quick Bites,South Indian,200.0,3.7,130,Delivery,No,No
Kotian Karavali Restaurant,Banashankari,Quick Bites,"South Indian, Biryani",300.0,3.5,10,Delivery,No,No
Floured-Baked With Love,Banashankari,"Takeaway, Delivery",Bakery,400.0,3.8,45,Delivery,No,No
CAFE NOVA,Banashankari,Cafe,"Cafe, Bakery",600.0,3.2,11,Delivery,No,No
Cakes & Slices,Banashankari,Bakery,"Bakery, Desserts",300.0,3.5,13,Delivery,No,No
Spice 9,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,3.4,8,Delivery,No,No
Coffee Shopee,Banashankari,"Takeaway, Delivery",Beverages,250.0,3.7,0,Delivery,No,No
Naveen Kabab & Biriyani Mane,Banashankari,Quick Bites,Biryani,300.0,3.2,9,Delivery,No,No
Katriguppe Donne Biryani,Banashankari,Quick Bites,North Indian,300.0,3.2,4,Delivery,No,No
Hari Super Sandwich,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200.0,3.7,0,Delivery,No,No
Atithi Point Ande Ka Funda,Banashankari,Quick Bites,North Indian,150.0,3.1,29,Delivery,No,No
Just Bake,Banashankari,Bakery,"Bakery, Desserts",400.0,3.4,8,Delivery,No,No
Dharwad Line Bazaar Mishra Pedha,Banashankari,Dessert Parlor,Mithai,150.0,3.7,0,Delivery,No,No
Cake Bite,Banashankari,Bakery,Bakery,300.0,3.8,0,Delivery,No,No
Aarush's Food Plaza,Banashankari,Quick Bites,"North Indian, Street Food",200.0,3.7,0,Delivery,No,No
Wood Stove,Banashankari,"Takeaway, Delivery",South Indian,150.0,3.7,0,Delivery,No,No
Kulfi & More,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150.0,3.7,0,Delivery,No,No
Kannadigas Karavali,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250.0,3.55,0,Delivery,No,No
K27 - The Pub,Banashankari,Bar,"Chinese, North Indian",1000.0,3.1,30,Delivery,No,No
Bengaluru Coffee House,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,4.1,201,Delivery,Yes,No
New Mangalore Lunch Home,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,3.3,7,Delivery,No,No
Coffee Bytes,Banashankari,Quick Bites,"Fast Food, South Indian",100.0,3.1,6,Delivery,No,No
Parjanya Chat Zone,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,3.3,17,Delivery,No,No
Kwality Wall's Swirl's Happiness Station,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,2.9,25,Delivery,No,No
Soms Kitchen & Bakes,Banashankari,Delivery,"South Indian, North Indian, Continental",400.0,3.7,0,Delivery,No,No
Banashankari Nati Style,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350.0,3.7,0,Delivery,No,No
Ruchi Maayaka,Banashankari,Delivery,South Indian,100.0,3.3,8,Delivery,No,No
Mohitesh Hut Roll,Banashankari,Quick Bites,"Rolls, North Indian",150.0,3.7,0,Delivery,No,No
Sri Basaveshwar Jolada Rotti Oota,Banashankari,Quick Bites,South Indian,150.0,3.8,0,Delivery,No,No
Roll Magic Fast Food,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200.0,3.7,0,Delivery,No,No
Foodlieious Multi Cuisine,Banashankari,Quick Bites,North Indian,100.0,3.4,0,Delivery,No,No
Thanishka Nati And Karavali Style,Banashankari,Quick Bites,"Biryani, Fast Food",400.0,3.75,0,Delivery,No,No
Swathi Cool Point,Banashankari,Beverage Shop,"Beverages, Juices",200.0,3.7,0,Delivery,No,No
Kaumudis Juoice,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150.0,3.4,0,Delivery,No,No
Amma - Manae,Banashankari,"Takeaway, Delivery",South Indian,400.0,3.7,0,Delivery,No,No
Sri Sai Tiffannies,Banashankari,Quick Bites,"South Indian, Chinese",150.0,4.0,0,Delivery,No,No
Hotel Andhra Speices,Banashankari,Quick Bites,Andhra,250.0,3.3,0,Delivery,No,No
Sri Murari Family Restaurant,Banashankari,Quick Bites,Biryani,250.0,3.3,0,Delivery,No,No
Aramane Donne Biriyani,Banashankari,Quick Bites,"South Indian, Biryani",150.0,3.5,0,Delivery,No,No
Darkolates,Banashankari,Confectionery,Desserts,200.0,3.7,0,Delivery,No,No
Swaada Healthy Kitchen,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350.0,3.7,0,Delivery,No,No
Gawdaru Mane Beriyani,Banashankari,Quick Bites,"South Indian, Biryani",300.0,3.5,0,Delivery,No,No
Melting Melodies,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100.0,3.7,0,Delivery,No,No
New Indraprasta,Banashankari,Quick Bites,"South Indian, Beverages",150.0,4.0,0,Delivery,No,No
Anna Kuteera,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,4.0,771,Delivery,Yes,No
Darbar,Banashankari,Bar,"North Indian, Chinese",800.0,3.0,98,Delivery,No,No
Vijayalakshmi,Banashankari,Quick Bites,South Indian,200.0,3.9,47,Delivery,Yes,No
Sri Udupi Food Hub,Banashankari,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,4.1,175,Delivery,Yes,Yes
Udupi Upahar,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,3.8,58,Delivery,Yes,No
House Of Kebabs,Banashankari,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,3.8,540,Delivery,Yes,No
Roll N Rock,Banashankari,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,3.8,124,Delivery,Yes,No
BOX8- Desi Meals,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,4.1,340,Delivery,Yes,No
KFC,Banashankari,Quick Bites,"Burger, Fast Food",450.0,3.8,505,Delivery,Yes,No
Bitez,Banashankari,Quick Bites,Fast Food,100.0,3.6500000000000004,0,Delivery,No,No
Roll Over,Banashankari,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,4.1,438,Delivery,Yes,No
Imperial Restaurant,Banashankari,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,3.7,264,Delivery,Yes,No
Lassi Shop,Banashankari,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,3.9,169,Delivery,Yes,No
The Fortuna,Banashankari,Quick Bites,"North Indian, Chinese",250.0,3.0,67,Delivery,Yes,No
Wahab,Banashankari,Quick Bites,"North Indian, Mughlai, Chinese",350.0,3.7,97,Delivery,Yes,No
Al Diwan Biryanis And More,Banashankari,"Takeaway, Delivery",Biryani,300.0,3.3,12,Delivery,Yes,No
New Gowda's Fried Chicken,Banashankari,Quick Bites,Biryani,300.0,3.3,12,Delivery,Yes,No
Canton,Banashankari,Casual Dining,"Chinese, Seafood, Biryani",800.0,3.6,195,Delivery,Yes,No
Diabetics Dezire Sugarless Sweets and Bakes,Banashankari,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,3.3,13,Delivery,Yes,No
The Blue Wagon - Kitchen,Banashankari,Cafe,"Cafe, Beverages",400.0,4.6,228,Delivery,Yes,No
HOT COFFEE,Banashankari,Quick Bites,"South Indian, Chinese",150.0,4.1,70,Delivery,Yes,No
Patio 805,Banashankari,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,4.1,364,Delivery,Yes,Yes
Lassi Corner,Banashankari,Beverage Shop,"Beverages, Ice Cream",150.0,3.7,107,Delivery,Yes,No
Sagar Deluxe,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,3.2,167,Delivery,Yes,No
Kanti Sweets,Banashankari,Sweet Shop,"Mithai, Street Food",400.0,4.0,115,Delivery,Yes,No
Vegetalia,Banashankari,"Takeaway, Delivery","Italian, Pizza",400.0,3.7,27,Delivery,Yes,No
Aramane Donne Biryani,Banashankari,Quick Bites,Biryani,200.0,3.5,57,Delivery,Yes,No
Ande Ka Funda,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0,3.8,120,Delivery,Yes,No
Cake Ghar,Banashankari,Bakery,Bakery,400.0,3.8,15,Delivery,Yes,No
Energy Addaa,Banashankari,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,4.2,64,Delivery,Yes,No
Bhattara Bhojana,Banashankari,Quick Bites,South Indian,150.0,3.6,66,Delivery,Yes,No
Tandoori Knight,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,3.0,290,Delivery,Yes,No
Dev Sagar - Food Street,Banashankari,Quick Bites,Street Food,200.0,4.1,233,Delivery,Yes,No
Mitraa Da Pizza,Banashankari,Quick Bites,"Fast Food, Pizza",250.0,3.8,115,Delivery,Yes,No
Paradise Premium,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,3.1,119,Delivery,Yes,No
Grazers,Banashankari,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,3.9,291,Delivery,Yes,Yes
Shakes Theory,Banashankari,Beverage Shop,"Beverages, Sandwich",300.0,4.5,155,Delivery,Yes,No
@Italy,Banashankari,Casual Dining,Italian,700.0,4.1,305,Delivery,Yes,No
Chilli Flakes,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500.0,3.6,46,Delivery,Yes,No
Calcutta Cafe,Banashankari,Quick Bites,"Bengali, Chinese, Sandwich",350.0,3.5,45,Delivery,Yes,No
Old Mumbai Ice Cream,Banashankari,Dessert Parlor,Ice Cream,150.0,3.9,38,Delivery,Yes,No
Donne Biriyani House,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,3.9,441,Delivery,Yes,No
By 2 Coffee,Banashankari,Quick Bites,South Indian,100.0,3.9,25,Delivery,Yes,No
Kedia's Fun Food,Banashankari,Quick Bites,"North Indian, Street Food, Juices",200.0,4.3,630,Delivery,Yes,No
Davangere Butter Dosa Hotel,Banashankari,Quick Bites,South Indian,150.0,3.8,25,Delivery,Yes,No
Just Shawarma,Banashankari,Quick Bites,Arabian,300.0,3.9,160,Delivery,Yes,No
Mini Punjabi Dhaba,Banashankari,Quick Bites,North Indian,350.0,4.2,287,Delivery,Yes,No
Mulabagilu Dosa,Banashankari,Quick Bites,South Indian,100.0,3.6,11,Delivery,Yes,No
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,Cafe,500.0,4.1,402,Delivery,Yes,No
Gokul Veg,Banashankari,Casual Dining,"North Indian, Chinese, Beverages",750.0,3.8,469,Delivery,Yes,No
Olive - Era,Banashankari,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,3.3,511,Delivery,Yes,No
Udupi Ruchi,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,3.9,57,Delivery,Yes,No
Madhappa Hindu Military Hotel,Banashankari,Quick Bites,South Indian,300.0,3.4,14,Delivery,Yes,No
Gama Gama,Banashankari,Quick Bites,South Indian,200.0,3.9,264,Delivery,Yes,No
The Vintage Cafe,Banashankari,Cafe,"Cafe, French, North Indian",400.0,3.0,62,Delivery,Yes,No
Pizza Hut,Banashankari,Casual Dining,"Pizza, Fast Food",750.0,3.8,693,Delivery,Yes,No
Mangalore Pearl,Banashankari,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,3.8,242,Delivery,Yes,No
Asha Sweets Centre,Banashankari,Dessert Parlor,Fast Food,250.0,3.6,27,Delivery,Yes,No
Twiststick House,Banashankari,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,4.1,163,Delivery,Yes,No
Cool Corner,Banashankari,Quick Bites,"Street Food, Fast Food",250.0,4.2,191,Delivery,Yes,No
Pizza Mane,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,3.5,32,Delivery,Yes,No
Dal Tadkaa,Banashankari,Casual Dining,North Indian,500.0,2.5,247,Delivery,Yes,No
Chutney Chang,Banashankari,Casual Dining,"North Indian, Chinese, BBQ",1500.0,4.1,2339,Delivery,Yes,Yes
Mystique Palate,Banashankari,Quick Bites,"Chinese, Fast Food",300.0,4.1,337,Delivery,Yes,No
Thamboola,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800.0,3.9,135,Delivery,Yes,No
Castle Rock,Banashankari,Casual Dining,"North Indian, Chinese",700.0,3.6,172,Delivery,Yes,No
Vietnamese Kitchen,Banashankari,Casual Dining,Vietnamese,700.0,3.6,105,Delivery,Yes,No
Smacznego,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,4.2,504,Delivery,Yes,No
C Corner,Banashankari,Quick Bites,"Fast Food, Street Food",200.0,3.2,36,Delivery,Yes,No
Paratha Merchant,Banashankari,Quick Bites,North Indian,300.0,3.1,39,Delivery,Yes,No
North Rasoe,Banashankari,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0,3.1,5,Delivery,Yes,No
Inchara Restaurant,Banashankari,Quick Bites,"North Indian, Chinese",300.0,3.4,0,Delivery,Yes,No
Toscano,Banashankari,Casual Dining,"Italian, Salad",1300.0,4.3,1129,Delivery,Yes,Yes
Lord Of The Kitchen,Banashankari,Quick Bites,"North Indian, Chinese",350.0,3.9,56,Delivery,Yes,No
Stoned Monkey,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0,4.3,860,Delivery,Yes,No
Central Jail Restaurant,Banashankari,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700.0,3.8,412,Delivery,Yes,No
Bella,Banashankari,Casual Dining,"Mangalorean, Seafood, South Indian",1000.0,3.9,142,Delivery,Yes,Yes
Vennela Andhra Meals,Banashankari,Quick Bites,Andhra,400.0,3.0,23,Delivery,Yes,No
New Prashanth Hotel,Banashankari,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,3.6,143,Delivery,Yes,No
The Grillo,Banashankari,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,2.8,80,Delivery,Yes,Yes
Re Malnad Nati Style Hotel,Banashankari,Casual Dining,South Indian,400.0,3.6,16,Delivery,Yes,No
Karma Kaapi,Banashankari,Beverage Shop,"Beverages, Tea",250.0,4.4,181,Delivery,Yes,No
Tiwari's,Banashankari,Quick Bites,"North Indian, Street Food",200.0,3.8,70,Delivery,Yes,No
Pizza Stop,Banashankari,Quick Bites,"Pizza, Italian",600.0,3.8,164,Delivery,Yes,No
Biggies Burger 'n' More,Banashankari,Quick Bites,"Cafe, Burger, Beverages",650.0,3.6,58,Delivery,Yes,No
Srinathji's Cafe,Banashankari,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,3.8,148,Delivery,No,No
Kollapuri's,Banashankari,Quick Bites,"South Indian, Mangalorean",450.0,3.9,206,Delivery,No,No
Sugar Stars Co,Banashankari,Bakery,"Bakery, Desserts",300.0,3.6,0,Delivery,No,No
Bombay Kulfis,Banashankari,Dessert Parlor,Ice Cream,200.0,3.55,0,Delivery,No,No
Kadamba Classic,Banashankari,Quick Bites,South Indian,300.0,3.6,16,Delivery,No,No
RS Shiv Sagar,Banashankari,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,3.7,217,Delivery,No,No
Kholi Mane,Banashankari,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450.0,3.6,46,Delivery,No,No
Harshi Super Sandwich,Banashankari,Quick Bites,"Fast Food, Street Food",150.0,3.8,148,Delivery,No,No
Cake Yard,Banashankari,Dessert Parlor,Desserts,250.0,3.4,30,Delivery,No,No
Rosewood International Hotel - Bar & Restaurant,Banashankari,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,3.6,8,Delivery,No,No
Sri Udupi Veg,Banashankari,Quick Bites,South Indian,250.0,3.3,4,Delivery,No,No
Cake Art,Banashankari,"Bakery, Quick Bites",Bakery,400.0,3.5,15,Delivery,No,No
Aahar Cafe,Banashankari,Quick Bites,South Indian,100.0,3.8,0,Delivery,No,No
